数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店ADR,,元,周,2019-06-23T00:00:00Z,201.22,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-06-23T00:00:00Z,132.7247,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-06-30T00:00:00Z,65.39,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-06-30T00:00:00Z,204.1,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-06-30T00:00:00Z,133.461,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-07-07T00:00:00Z,65.85,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-07-07T00:00:00Z,209.5,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-07-07T00:00:00Z,137.9557,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-07-14T00:00:00Z,68.15,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-07-14T00:00:00Z,216.03,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-07-14T00:00:00Z,147.2244,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-07-21T00:00:00Z,70.97,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-07-21T00:00:00Z,224.6,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-07-21T00:00:00Z,159.3986,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-07-28T00:00:00Z,71.91,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-07-28T00:00:00Z,231.27,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-07-28T00:00:00Z,166.3063,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-08-04T00:00:00Z,70.89,,,,酒店之家(STR)
