period_id,year,week,start_date,end_date,region,room_band,hotel_count,room_count,chain_hotel_count,chain_room_count,source
2022W44,2022,44,2022-10-24,2022-10-30,全国,150间及以上,14012,3382230,5424,1351218,酒店之家
2022W45,2022,45,2022-10-31,2022-11-06,全国,全部,445103,17332512,46966,4450618,酒店之家
2022W45,2022,45,2022-10-31,2022-11-06,全国,15间以下,134284,1063790,1062,9809,酒店之家
2022W45,2022,45,2022-10-31,2022-11-06,全国,15-29间,127691,2608063,2294,51665,酒店之家
2022W45,2022,45,2022-10-31,2022-11-06,全国,30-69间,114880,5042182,15080,758530,酒店之家
2022W45,2022,45,2022-10-31,2022-11-06,全国,70-149间,54302,5250037,23112,2280996,酒店之家
2022W45,2022,45,2022-10-31,2022-11-06,全国,150间及以上,13946,3368440,5418,1349618,酒店之家
2022W46,2022,46,2022-11-07,2022-11-13,全国,全部,445144,17319376,46905,4444345,酒店之家
2022W46,2022,46,2022-11-07,2022-11-13,全国,15间以下,134293,1067133,1060,9792,酒店之家
2022W46,2022,46,2022-11-07,2022-11-13,全国,15-29间,127946,2612782,2290,51556,酒店之家
2022W46,2022,46,2022-11-07,2022-11-13,全国,30-69间,114798,5037644,15078,758324,酒店之家
2022W46,2022,46,2022-11-07,2022-11-13,全国,70-149间,54198,5240023,23073,2277124,酒店之家
2022W46,2022,46,2022-11-07,2022-11-13,全国,150间及以上,13909,3361794,5404,1347549,酒店之家
2022W47,2022,47,2022-11-14,2022-11-20,全国,全部,447850,17317101,46882,4441180,酒店之家
2022W47,2022,47,2022-11-14,2022-11-20,全国,15间以下,136941,1075875,1062,9798,酒店之家
2022W47,2022,47,2022-11-14,2022-11-20,全国,15-29间,128203,2617533,2291,51602,酒店之家
2022W47,2022,47,2022-11-14,2022-11-20,全国,30-69间,114708,5032891,15068,757771,酒店之家
2022W47,2022,47,2022-11-14,2022-11-20,全国,70-149间,54096,5231112,23059,2275842,酒店之家
2022W47,2022,47,2022-11-14,2022-11-20,全国,150间及以上,13902,3359690,5402,1346167,酒店之家
2022W48,2022,48,2022-11-21,2022-11-27,全国,全部,448342,17314165,46787,4433794,酒店之家
2022W48,2022,48,2022-11-21,2022-11-27,全国,15间以下,136939,1079771,1070,9873,酒店之家
2022W48,2022,48,2022-11-21,2022-11-27,全国,15-29间,128746,2628847,2287,51544,酒店之家
2022W48,2022,48,2022-11-21,2022-11-27,全国,30-69间,114845,5037758,15028,755853,酒店之家
2022W48,2022,48,2022-11-21,2022-11-27,全国,70-149间,53945,5215200,23001,2269839,酒店之家
2022W48,2022,48,2022-11-21,2022-11-27,全国,150间及以上,13867,3352589,5401,1346685,酒店之家
2022W49,2022,49,2022-11-28,2022-12-04,全国,全部,447900,17249994,46220,4398582,酒店之家
2022W49,2022,49,2022-11-28,2022-12-04,全国,15间以下,137309,1080040,1050,9647,酒店之家
2022W49,2022,49,2022-11-28,2022-12-04,全国,15-29间,128618,2625699,2166,48875,酒店之家
2022W49,2022,49,2022-11-28,2022-12-04,全国,30-69间,114525,5022603,14813,746193,酒店之家
2022W49,2022,49,2022-11-28,2022-12-04,全国,70-149间,53653,5186561,22812,2251144,酒店之家
2022W49,2022,49,2022-11-28,2022-12-04,全国,150间及以上,13795,3335091,5379,1342723,酒店之家
2022W50,2022,50,2022-12-05,2022-12-11,全国,全部,448847,17284344,46373,4410790,酒店之家
2022W50,2022,50,2022-12-05,2022-12-11,全国,15间以下,137611,1084228,1042,9581,酒店之家
2022W50,2022,50,2022-12-05,2022-12-11,全国,15-29间,128946,2632003,2177,49063,酒店之家
2022W50,2022,50,2022-12-05,2022-12-11,全国,30-69间,114683,5029385,14875,749216,酒店之家
2022W50,2022,50,2022-12-05,2022-12-11,全国,70-149间,53793,5199686,22892,2259240,酒店之家
2022W50,2022,50,2022-12-05,2022-12-11,全国,150间及以上,13814,3339042,5387,1343690,酒店之家
2022W51,2022,51,2022-12-12,2022-12-18,全国,全部,451132,17351182,46677,4441126,酒店之家
2022W51,2022,51,2022-12-12,2022-12-18,全国,15间以下,139223,1089815,1045,9614,酒店之家
2022W51,2022,51,2022-12-12,2022-12-18,全国,15-29间,129012,2633195,2180,49136,酒店之家
2022W51,2022,51,2022-12-12,2022-12-18,全国,30-69间,114913,5040383,14952,753237,酒店之家
2022W51,2022,51,2022-12-12,2022-12-18,全国,70-149间,54085,5229389,23075,2277939,酒店之家
2022W51,2022,51,2022-12-12,2022-12-18,全国,150间及以上,13899,3358400,5425,1351200,酒店之家
2022W52,2022,52,2022-12-19,2022-12-25,全国,全部,465998,17405658,46768,4448632,酒店之家
2022W52,2022,52,2022-12-19,2022-12-25,全国,15间以下,153541,1121278,1045,9602,酒店之家
2022W52,2022,52,2022-12-19,2022-12-25,全国,15-29间,129373,2640090,2199,49585,酒店之家
2022W52,2022,52,2022-12-19,2022-12-25,全国,30-69间,115007,5044077,14994,755117,酒店之家
2022W52,2022,52,2022-12-19,2022-12-25,全国,70-149间,54160,5236859,23089,2279352,酒店之家
2022W52,2022,52,2022-12-19,2022-12-25,全国,150间及以上,13917,3363354,5441,1354976,酒店之家
2023W01,2023,1,2022-12-26,2023-01-01,全国,全部,464129,17370209,46953,4465502,酒店之家
2023W01,2023,1,2022-12-26,2023-01-01,全国,15间以下,152154,1115226,1050,9657,酒店之家
2023W01,2023,1,2022-12-26,2023-01-01,全国,15-29间,129020,2633164,2190,49420,酒店之家
2023W01,2023,1,2022-12-26,2023-01-01,全国,30-69间,114966,5043041,15049,758048,酒店之家
2023W01,2023,1,2022-12-26,2023-01-01,全国,70-149间,54138,5233938,23213,2291969,酒店之家
2023W01,2023,1,2022-12-26,2023-01-01,全国,150间及以上,13851,3344840,5451,1356408,酒店之家
2023W02,2023,2,2023-01-02,2023-01-08,全国,全部,465075,17418829,47185,4493269,酒店之家
2023W02,2023,2,2023-01-02,2023-01-08,全国,15间以下,152692,1115757,1048,9639,酒店之家
2023W02,2023,2,2023-01-02,2023-01-08,全国,15-29间,129134,2635728,2205,49729,酒店之家
2023W02,2023,2,2023-01-02,2023-01-08,全国,30-69间,114982,5043804,15096,760405,酒店之家
2023W02,2023,2,2023-01-02,2023-01-08,全国,70-149间,54304,5251791,23333,2304839,酒店之家
2023W02,2023,2,2023-01-02,2023-01-08,全国,150间及以上,13963,3371749,5503,1368657,酒店之家
2023W03,2023,3,2023-01-09,2023-01-15,全国,全部,469180,17528657,47472,4526467,酒店之家
2023W03,2023,3,2023-01-09,2023-01-15,全国,15间以下,154948,1125053,1054,9704,酒店之家
2023W03,2023,3,2023-01-09,2023-01-15,全国,15-29间,130127,2655771,2222,50040,酒店之家
2023W03,2023,3,2023-01-09,2023-01-15,全国,30-69间,115423,5062246,15151,763237,酒店之家
2023W03,2023,3,2023-01-09,2023-01-15,全国,70-149间,54589,5280413,23492,2321523,酒店之家
2023W03,2023,3,2023-01-09,2023-01-15,全国,150间及以上,14093,3405174,5553,1381963,酒店之家
2023W04,2023,4,2023-01-16,2023-01-22,全国,全部,469415,17592774,48041,4567551,酒店之家
2023W04,2023,4,2023-01-16,2023-01-22,全国,15间以下,154477,1126919,1079,9986,酒店之家
2023W04,2023,4,2023-01-16,2023-01-22,全国,15-29间,130300,2658952,2350,52835,酒店之家
2023W04,2023,4,2023-01-16,2023-01-22,全国,30-69间,115604,5070564,15329,771321,酒店之家
