period_id,year,week,start_date,end_date,region,segment,hotel_count,room_count,hotel_count_15plus,room_count_15plus,occupancy_rate,adr,revpar,source
2017W22,2017,22,2017-05-22,2017-05-28,全国,豪华型,,,,,,758.46,,酒店之家
2017W23,2017,23,2017-05-29,2017-06-04,全国,全部,,,,,,225.69,,酒店之家
2017W23,2017,23,2017-05-29,2017-06-04,全国,经济型,,,,,,150.73,,酒店之家
2017W23,2017,23,2017-05-29,2017-06-04,全国,中档型,,,,,,238.5,,酒店之家
2017W23,2017,23,2017-05-29,2017-06-04,全国,高档型,,,,,,367.08,,酒店之家
2017W23,2017,23,2017-05-29,2017-06-04,全国,豪华型,,,,,,728.43,,酒店之家
2017W24,2017,24,2017-06-05,2017-06-11,全国,全部,,,,,,227.2,,酒店之家
2017W24,2017,24,2017-06-05,2017-06-11,全国,经济型,,,,,,150.55,,酒店之家
2017W24,2017,24,2017-06-05,2017-06-11,全国,中档型,,,,,,241.6,,酒店之家
2017W24,2017,24,2017-06-05,2017-06-11,全国,高档型,,,,,,377.03,,酒店之家
2017W24,2017,24,2017-06-05,2017-06-11,全国,豪华型,,,,,,732.32,,酒店之家
2017W25,2017,25,2017-06-12,2017-06-18,全国,全部,,,,,,225.28,,酒店之家
2017W25,2017,25,2017-06-12,2017-06-18,全国,经济型,,,,,,149.4,,酒店之家
2017W25,2017,25,2017-06-12,2017-06-18,全国,中档型,,,,,,239.26,,酒店之家
2017W25,2017,25,2017-06-12,2017-06-18,全国,高档型,,,,,,376.36,,酒店之家
2017W25,2017,25,2017-06-12,2017-06-18,全国,豪华型,,,,,,738.41,,酒店之家
2017W26,2017,26,2017-06-19,2017-06-25,全国,全部,,,,,,226.85,,酒店之家
2017W26,2017,26,2017-06-19,2017-06-25,全国,经济型,,,,,,149.76,,酒店之家
2017W26,2017,26,2017-06-19,2017-06-25,全国,中档型,,,,,,239.77,,酒店之家
2017W26,2017,26,2017-06-19,2017-06-25,全国,高档型,,,,,,375.06,,酒店之家
2017W26,2017,26,2017-06-19,2017-06-25,全国,豪华型,,,,,,731.54,,酒店之家
2017W27,2017,27,2017-06-26,2017-07-02,全国,全部,,,,,,231.61,,酒店之家
2017W27,2017,27,2017-06-26,2017-07-02,全国,经济型,,,,,,152.5,,酒店之家
2017W27,2017,27,2017-06-26,2017-07-02,全国,中档型,,,,,,243.71,,酒店之家
2017W27,2017,27,2017-06-26,2017-07-02,全国,高档型,,,,,,379.11,,酒店之家
2017W27,2017,27,2017-06-26,2017-07-02,全国,豪华型,,,,,,737.48,,酒店之家
2017W28,2017,28,2017-07-03,2017-07-09,全国,全部,,,,,,238.13,,酒店之家
2017W28,2017,28,2017-07-03,2017-07-09,全国,经济型,,,,,,157.81,,酒店之家
2017W28,2017,28,2017-07-03,2017-07-09,全国,中档型,,,,,,252.88,,酒店之家
2017W28,2017,28,2017-07-03,2017-07-09,全国,高档型,,,,,,388.37,,酒店之家
2017W28,2017,28,2017-07-03,2017-07-09,全国,豪华型,,,,,,747.09,,酒店之家
2017W29,2017,29,2017-07-10,2017-07-16,全国,全部,,,,,,245.19,,酒店之家
2017W29,2017,29,2017-07-10,2017-07-16,全国,经济型,,,,,,163.11,,酒店之家
2017W29,2017,29,2017-07-10,2017-07-16,全国,中档型,,,,,,259.32,,酒店之家
2017W29,2017,29,2017-07-10,2017-07-16,全国,高档型,,,,,,395.5,,酒店之家
2017W29,2017,29,2017-07-10,2017-07-16,全国,豪华型,,,,,,758.71,,酒店之家
2017W30,2017,30,2017-07-17,2017-07-23,全国,全部,,,,,,250.34,,酒店之家
2017W30,2017,30,2017-07-17,2017-07-23,全国,经济型,,,,,,166.69,,酒店之家
2017W30,2017,30,2017-07-17,2017-07-23,全国,中档型,,,,,,266.07,,酒店之家
2017W30,2017,30,2017-07-17,2017-07-23,全国,高档型,,,,,,401.03,,酒店之家
2017W30,2017,30,2017-07-17,2017-07-23,全国,豪华型,,,,,,767.67,,酒店之家
2017W31,2017,31,2017-07-24,2017-07-30,全国,全部,,,,,,254.24,,酒店之家
2017W31,2017,31,2017-07-24,2017-07-30,全国,经济型,,,,,,169.76,,酒店之家
2017W31,2017,31,2017-07-24,2017-07-30,全国,中档型,,,,,,269.51,,酒店之家
2017W31,2017,31,2017-07-24,2017-07-30,全国,高档型,,,,,,405.32,,酒店之家
2017W31,2017,31,2017-07-24,2017-07-30,全国,豪华型,,,,,,777.48,,酒店之家
